tripduration,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude
692,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
432,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070
193,Ames St at Main St,42.3625,-71.08822,Binney St / Sixth St,42.366095,-71.086388
246,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Kendall Street,42.363560158429900,-71.08216792345050
274,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070
279,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Lechmere Station at Cambridge St / First St,42.370677,-71.076529
281,MIT at Mass Ave / Amherst St,42.3581,-71.093198,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
270,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214
458,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Central Square at Mass Ave / Essex St,42.36507,-71.1031
257,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886
428,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
583,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526
418,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105
574,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,MIT at Mass Ave / Amherst St,42.3581,-71.093198
166,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473
846,Porter Square Station,42.387995,-71.119084,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
830,Porter Square Station,42.387995,-71.119084,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
423,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Central Square at Mass Ave / Essex St,42.36507,-71.1031
190,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
260,Ames St at Main St,42.3625,-71.08822,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169
521,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105
278,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
362,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
347,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
691,Porter Square Station,42.387995,-71.119084,Binney St / Sixth St,42.366095,-71.086388
646,Porter Square Station,42.387995,-71.119084,Alewife Station at Russell Field,42.396105,-71.139459
632,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304350,-71.10057324171070
177,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,Binney St / Sixth St,42.366095,-71.086388
538,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579
254,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495
302,Porter Square Station,42.387995,-71.119084,Danehy Park,42.388966,-71.132788
